predRounded,resid05,resid25,resid50,resid75,resid95
3800,176.5901813852593,176.5901813852593,176.5901813852593,176.5901813852593,176.5901813852593
3900,147.9837031144277,212.8540567138724,293.94199871317835,366.8811686706761,425.2325046366743
4000,13.031217328490914,45.5020584051886,117.9939265780021,327.8289684100264,555.2006906539988
4100,-77.45226933376753,16.90653626542995,112.4016864526648,201.07927469955575,403.4875125486052
4200,-168.43567634770756,-60.5122023073317,66.63722844047952,179.6472023740651,301.1435257293855
4300,-256.2505616574718,-92.89852567648806,8.73219621946106,121.93135641528141,283.00010018966833
4400,-316.79152120495826,-131.25300627308286,-10.334490985299142,100.17192637064025,268.9178198944206
4500,-319.5874962285378,-128.04071654502783,-2.9153079108598865,102.65010636577058,263.9580083551956
4600,-297.62844070099703,-107.43514306093762,12.213114369189288,128.09406375212555,270.4151251059103
4700,-278.9768290662857,-91.26581537735052,36.48068825599431,141.87420199190748,269.5570070357087
4800,-295.1102214443928,-74.89698622282356,50.608995189940885,146.86017092173955,265.03599456295774
4900,-341.2205918987487,-81.61522040372,43.41226451056945,134.9735544145809,255.69704526003162
5000,-386.5338185272077,-90.53679756320673,30.465269066783158,126.29843957068367,251.80839973410883
5100,-445.3118739140019,-118.33175738356462,13.481855663215626,116.05791982320974,248.9166989449473
5200,-492.3526708532704,-135.03986852463447,12.169046462704175,121.70742197767997,281.8226600984379
5300,-538.0782154269946,-148.59681077551588,16.77578325378073,149.25230506708365,339.08516475206306
5400,-582.3705177913869,-159.88166317018567,28.398642781916827,178.2880125086608,400.06146027930424
5500,-614.6895985515914,-155.5363149921018,50.10288222944874,215.69301606680722,456.04674671298193
5600,-657.5574616965428,-150.142814927532,65.37544125095121,250.32145335982284,539.4078709935826
5700,-687.5482281910117,-135.9018688166948,92.86836078378869,298.74998231182985,637.2656425467952
5800,-705.5359535723811,-130.69074433158218,88.88212109791465,282.6941022382456,678.3082686641999
5900,-740.6604535800751,-143.8633952471909,85.09238386663309,331.1898224058042,787.9372473309104
6000,-637.0846435477206,-93.33996327827604,154.5047065201788,433.1878124089221,839.2225898045839
6100,-708.3538519188686,-132.8848136556193,96.51515267950894,355.01504981926917,887.3863612616547
6200,-467.6527456149679,-132.26476616486468,126.93930376058573,545.6913018705837,1057.9497510979006
6300,-524.6473827193398,-216.16917396355402,71.83472625476989,383.037448554744,1069.3892281564704
