card,level,trophies,win,draw,lose
Archers,12,5200,168,0,225
Archers,13,5200,283,0,262
Archers,10,5300,1,0,3
Archers,11,5300,15,0,21
Archers,12,5300,111,0,141
Archers,13,5300,367,0,351
Archers,10,5400,1,0,1
Archers,11,5400,4,0,5
Archers,12,5400,46,0,75
Archers,13,5400,346,0,325
Archers,10,5500,0,0,1
Archers,11,5500,0,0,3
Archers,12,5500,23,0,45
Archers,13,5500,298,0,300
Archers,11,5600,0,0,1
Archers,12,5600,19,0,15
Archers,13,5600,268,0,273
Archers,12,5700,8,0,7
Archers,13,5700,156,0,166
Archers,12,5800,3,0,0
Archers,13,5800,108,0,125
Archers,12,5900,2,0,5
Archers,13,5900,58,0,74
Archers,12,6000,0,0,1
Archers,13,6000,47,0,44
Archers,13,6100,30,0,20
Archers,12,6200,0,0,1
Archers,13,6200,12,0,22
Archers,13,6300,17,0,8
Archers,13,6400,7,0,7
Archers,13,6500,4,0,2
Archers,13,6600,3,0,3
Archers,13,6700,3,0,3
Archers,13,6800,1,0,3
Archers,13,6900,0,0,1
Archers,13,7100,1,0,0
Archers,13,7400,1,0,0
Arrows,10,600,0,0,1
Arrows,5,900,0,0,1
Arrows,6,1000,0,0,1
Arrows,7,1000,0,0,2
Arrows,6,1100,0,0,1
Arrows,7,1100,0,0,1
Arrows,6,1200,0,0,2
Arrows,10,1200,0,0,1
Arrows,7,1300,1,0,0
Arrows,8,1300,1,0,0
Arrows,5,1400,2,0,0
Arrows,7,1400,1,0,3
Arrows,10,1400,0,0,1
Arrows,11,1400,1,0,0
Arrows,10,1500,0,0,1
Arrows,6,1600,3,0,0
Arrows,7,1600,1,0,0
Arrows,6,1700,0,0,1
Arrows,7,1700,3,0,1
Arrows,9,1700,0,0,1
Arrows,6,1800,2,0,3
Arrows,7,1800,3,0,5
Arrows,8,1800,0,0,2
Arrows,5,1900,1,0,2
Arrows,6,1900,4,0,3
Arrows,7,1900,0,0,1
Arrows,8,1900,0,0,1
Arrows,9,1900,1,0,0
Arrows,6,2000,0,0,1
Arrows,7,2000,2,0,1
Arrows,8,2000,1,0,1
Arrows,13,2000,0,0,1
Arrows,5,2100,0,0,1
Arrows,6,2100,1,0,2
Arrows,7,2100,4,0,2
Arrows,8,2100,2,0,1
Arrows,12,2100,0,0,2
Arrows,6,2200,2,0,1
Arrows,7,2200,4,0,7
Arrows,8,2200,2,0,0
Arrows,13,2200,1,0,0
Arrows,6,2300,1,0,2
Arrows,7,2300,2,0,3
Arrows,10,2300,0,0,1
Arrows,12,2300,0,0,1
Arrows,6,2400,3,0,4
Arrows,7,2400,3,0,5
Arrows,8,2400,1,0,5
Arrows,9,2400,0,0,1
Arrows,12,2400,1,0,0
Arrows,5,2500,1,0,0
Arrows,6,2500,0,0,1
Arrows,7,2500,0,0,3
Arrows,8,2500,3,0,2
Arrows,11,2500,0,0,1
Arrows,5,2600,1,0,1
Arrows,6,2600,1,0,0
Arrows,7,2600,1,0,0
Arrows,8,2600,0,0,1
Arrows,12,2600,0,0,1
Arrows,6,2700,2,0,0
Arrows,7,2700,4,0,2
Arrows,8,2700,0,0,1
Arrows,5,2800,0,0,1
Arrows,6,2800,0,0,1
Arrows,7,2800,3,0,5
Arrows,8,2800,2,0,3
Arrows,5,2900,0,0,1
Arrows,6,2900,1,0,2
Arrows,7,2900,4,0,3
Arrows,8,2900,1,0,2
Arrows,1,3000,1,0,0
Arrows,5,3000,1,0,0
Arrows,6,3000,3,0,0
Arrows,7,3000,2,0,0
Arrows,8,3000,0,0,1
Arrows,6,3100,3,0,1
Arrows,7,3100,3,0,1
Arrows,8,3100,4,0,3
Arrows,9,3100,1,0,0
Arrows,12,3100,0,0,1
Arrows,13,3100,0,0,1
Arrows,6,3200,0,0,4
Arrows,7,3200,4,0,2
Arrows,8,3200,3,0,1
Arrows,12,3200,1,0,0
Arrows,6,3300,1,0,0
Arrows,7,3300,2,0,1
Arrows,8,3300,2,0,2
Arrows,9,3300,0,0,1
Arrows,12,3300,0,0,1
Arrows,13,3300,0,0,1
Arrows,5,3400,0,0,1
Arrows,6,3400,1,0,2
Arrows,7,3400,8,0,3
Arrows,8,3400,6,0,6
Arrows,9,3400,2,0,1
Arrows,6,3500,2,0,1
Arrows,7,3500,5,0,7
Arrows,8,3500,3,0,3
Arrows,9,3500,1,0,2
Arrows,2,3600,1,0,0
Arrows,6,3600,2,0,4
Arrows,7,3600,8,0,15
Arrows,8,3600,22,0,23
Arrows,9,3600,5,0,6
Arrows,10,3600,2,0,2
Arrows,11,3600,1,0,1
Arrows,12,3600,0,0,1
Arrows,13,3600,2,0,2
Arrows,1,3700,0,0,1
Arrows,4,3700,0,0,2
Arrows,5,3700,2,0,3
Arrows,6,3700,2,0,8
Arrows,7,3700,19,0,37
Arrows,8,3700,33,0,65
Arrows,9,3700,14,0,14
Arrows,10,3700,2,0,3
Arrows,13,3700,1,0,2
Arrows,2,3800,0,0,1
Arrows,5,3800,0,0,3
Arrows,6,3800,3,0,15
Arrows,7,3800,21,0,54
Arrows,8,3800,31,0,56
Arrows,9,3800,13,0,34
Arrows,10,3800,0,0,1
Arrows,13,3800,1,0,1
Arrows,6,3900,1,0,16
Arrows,7,3900,17,0,29
Arrows,8,3900,31,0,54
Arrows,9,3900,8,0,16
Arrows,10,3900,2,0,1
Arrows,11,3900,0,0,1
Arrows,12,3900,1,0,0
Arrows,1,4000,0,0,1
Arrows,3,4000,0,0,1
Arrows,6,4000,4,0,4
Arrows,7,4000,6,0,14
Arrows,8,4000,15,0,22
Arrows,9,4000,9,0,13
Arrows,10,4000,1,0,5
Arrows,11,4000,2,0,5
Arrows,12,4000,1,0,4
Arrows,13,4000,1,0,3
Arrows,1,4100,0,0,1
Arrows,2,4100,1,0,0
Arrows,5,4100,1,0,1
Arrows,6,4100,1,0,8
Arrows,7,4100,15,0,14
Arrows,8,4100,10,0,36
Arrows,9,4100,13,0,27
Arrows,10,4100,2,0,7
Arrows,11,4100,1,0,4
Arrows,12,4100,2,0,4
Arrows,13,4100,3,0,10
Arrows,5,4200,1,0,0
Arrows,6,4200,6,0,8
Arrows,7,4200,14,0,46
Arrows,8,4200,23,0,80
Arrows,9,4200,18,0,43
Arrows,10,4200,11,0,18
Arrows,11,4200,1,0,10
Arrows,12,4200,2,0,8
Arrows,13,4200,6,0,5
Arrows,2,4300,0,0,1
Arrows,4,4300,0,0,1
Arrows,6,4300,1,0,8
Arrows,7,4300,23,0,51
Arrows,8,4300,50,0,102
Arrows,9,4300,40,0,99
Arrows,10,4300,12,0,35
Arrows,11,4300,5,0,9
Arrows,12,4300,4,0,9
Arrows,13,4300,5,0,9
Arrows,1,4400,2,0,0
Arrows,6,4400,3,0,9
Arrows,7,4400,27,0,81
Arrows,8,4400,88,0,185
Arrows,9,4400,76,0,174
Arrows,10,4400,50,0,72
Arrows,11,4400,24,0,29
Arrows,12,4400,5,0,8
Arrows,13,4400,3,0,10
Arrows,6,4500,6,0,7
Arrows,7,4500,17,0,87
Arrows,8,4500,114,0,203
Arrows,9,4500,136,0,278
Arrows,10,4500,122,0,178
Arrows,11,4500,86,0,120
Arrows,12,4500,44,0,45
Arrows,13,4500,19,0,12
Arrows,1,4600,1,0,0
Arrows,6,4600,3,0,12
Arrows,7,4600,30,0,68
Arrows,8,4600,121,0,221
Arrows,9,4600,191,0,315
Arrows,10,4600,156,0,248
Arrows,11,4600,151,0,209
Arrows,12,4600,112,0,134
Arrows,13,4600,45,0,58
Arrows,5,4700,0,0,1
Arrows,6,4700,1,0,5
Arrows,7,4700,14,0,34
Arrows,8,4700,92,0,155
Arrows,9,4700,203,0,375
Arrows,10,4700,203,0,296
Arrows,11,4700,216,0,259
Arrows,12,4700,188,0,193
Arrows,13,4700,135,0,139
Arrows,3,4800,0,0,1
Arrows,6,4800,1,0,2
Arrows,7,4800,8,0,12
Arrows,8,4800,62,0,109
Arrows,9,4800,213,0,389
Arrows,10,4800,271,0,380
Arrows,11,4800,269,0,365
Arrows,12,4800,210,0,233
Arrows,13,4800,217,0,223
Arrows,7,4900,1,0,3
Arrows,8,4900,25,0,58
Arrows,9,4900,170,0,295
Arrows,10,4900,310,0,453
Arrows,11,4900,429,0,541
Arrows,12,4900,322,0,361
Arrows,13,4900,295,0,227
Arrows,6,5000,0,0,1
Arrows,7,5000,0,0,1
Arrows,8,5000,15,0,17
Arrows,9,5000,98,0,153
Arrows,10,5000,268,0,371
Arrows,11,5000,609,0,697
Arrows,12,5000,542,0,540
Arrows,13,5000,387,0,287
Arrows,3,5100,0,0,1
Arrows,8,5100,2,0,0
Arrows,9,5100,18,0,28
Arrows,10,5100,133,0,167
Arrows,11,5100,432,0,671
Arrows,12,5100,670,0,728
Arrows,13,5100,537,0,429
Arrows,9,5200,6,0,10
Arrows,10,5200,42,0,73
Arrows,11,5200,276,0,406
Arrows,12,5200,618,0,726
Arrows,13,5200,690,0,589
Arrows,8,5300,0,0,1
Arrows,9,5300,2,0,2
Arrows,10,5300,13,0,23
Arrows,11,5300,139,0,183
Arrows,12,5300,483,0,590
Arrows,13,5300,827,0,803
Arrows,8,5400,0,0,1
Arrows,10,5400,2,0,4
Arrows,11,5400,44,0,78
Arrows,12,5400,332,0,387
Arrows,13,5400,878,0,914
Arrows,10,5500,2,0,1
Arrows,11,5500,21,0,30
Arrows,12,5500,173,0,246
Arrows,13,5500,844,0,830
Arrows,10,5600,0,0,1
Arrows,11,5600,7,0,7
Arrows,12,5600,123,0,142
Arrows,13,5600,798,0,774
Arrows,10,5700,0,0,1
Arrows,11,5700,3,0,4
Arrows,12,5700,68,0,72
Arrows,13,5700,551,0,603
Arrows,11,5800,3,0,1
Arrows,12,5800,33,0,34
Arrows,13,5800,424,0,458
Arrows,11,5900,2,0,0
Arrows,12,5900,18,0,18
Arrows,13,5900,257,0,286
Arrows,12,6000,10,0,14
Arrows,13,6000,203,0,177
Arrows,12,6100,6,0,8
Arrows,13,6100,111,0,106
Arrows,12,6200,2,0,1
Arrows,13,6200,52,0,58
Arrows,13,6300,41,0,31
Arrows,13,6400,24,0,20
Arrows,13,6500,10,0,12
Arrows,13,6600,13,0,6
Arrows,13,6700,8,0,5
Arrows,13,6800,7,0,8
Arrows,13,6900,3,0,2
Arrows,13,7000,4,0,1
Arrows,13,7100,1,0,0
Arrows,13,7200,0,0,1
Arrows,12,7300,0,0,1
Arrows,13,7300,1,0,0
Arrows,13,7400,0,0,1
Arrows,13,7600,1,0,0
Baby Dragon,10,600,0,0,1
Baby Dragon,6,700,1,0,0
Baby Dragon,11,700,0,0,1
Baby Dragon,6,800,1,0,1
Baby Dragon,6,900,0,0,1
Baby Dragon,6,1000,0,0,1
Baby Dragon,7,1000,1,0,1
Baby Dragon,8,1000,0,0,1
Baby Dragon,7,1100,2,0,2
Baby Dragon,6,1200,0,0,2
Baby Dragon,7,1200,3,0,5
Baby Dragon,7,1300,4,0,1
Baby Dragon,8,1300,0,0,1
Baby Dragon,10,1300,1,0,0
Baby Dragon,11,1300,0,0,1
Baby Dragon,6,1400,0,0,4
Baby Dragon,7,1400,2,0,7
Baby Dragon,8,1400,1,0,2
Baby Dragon,12,1400,1,0,0
Baby Dragon,7,1500,3,0,5
Baby Dragon,9,1500,1,0,0
Baby Dragon,6,1600,1,0,0
Baby Dragon,7,1600,2,0,3
Baby Dragon,8,1600,3,0,0
Baby Dragon,11,1600,0,0,1
Baby Dragon,6,1700,0,0,2
Baby Dragon,7,1700,3,0,11
Baby Dragon,8,1700,4,0,3
Baby Dragon,9,1700,2,0,0
Baby Dragon,6,1800,0,0,5
Baby Dragon,7,1800,14,0,16
Baby Dragon,8,1800,2,0,7
Baby Dragon,9,1800,1,0,0
Baby Dragon,10,1800,1,0,0
Baby Dragon,6,1900,1,0,4
Baby Dragon,7,1900,7,0,12
Baby Dragon,8,1900,3,0,9
Baby Dragon,9,1900,0,0,1
Baby Dragon,10,1900,0,0,1
Baby Dragon,6,2000,1,0,0
Baby Dragon,7,2000,4,0,3
Baby Dragon,8,2000,2,0,1
Baby Dragon,9,2000,0,0,1
Baby Dragon,10,2000,1,0,0
Baby Dragon,12,2000,0,0,2
Baby Dragon,6,2100,2,0,3
Baby Dragon,7,2100,7,0,14
Baby Dragon,8,2100,6,0,8
Baby Dragon,9,2100,0,0,1
Baby Dragon,10,2100,0,0,1
Baby Dragon,13,2100,0,0,1
Baby Dragon,6,2200,0,0,1
Baby Dragon,7,2200,15,0,31
Baby Dragon,8,2200,7,0,7
Baby Dragon,9,2200,2,0,0
Baby Dragon,11,2200,0,0,1
Baby Dragon,6,2300,3,0,0
Baby Dragon,7,2300,3,0,2
Baby Dragon,8,2300,3,0,2
Baby Dragon,9,2300,0,0,1
Baby Dragon,6,2400,4,0,3
Baby Dragon,7,2400,10,0,18
Baby Dragon,8,2400,6,0,21
Baby Dragon,9,2400,1,0,2
Baby Dragon,6,2500,0,0,2
Baby Dragon,7,2500,4,0,18
Baby Dragon,8,2500,9,0,8
Baby Dragon,9,2500,5,0,1
Baby Dragon,10,2500,1,0,0
Baby Dragon,7,2600,1,0,1
Baby Dragon,8,2600,6,0,1
Baby Dragon,10,2600,1,0,0
Baby Dragon,7,2700,8,0,3
Baby Dragon,8,2700,3,0,7
Baby Dragon,9,2700,2,0,4
Baby Dragon,10,2700,0,0,1
Baby Dragon,11,2700,0,0,1
Baby Dragon,12,2700,0,0,1
Baby Dragon,6,2800,1,0,0
Baby Dragon,7,2800,7,0,13
Baby Dragon,8,2800,11,0,13
Baby Dragon,9,2800,2,0,2
Baby Dragon,6,2900,0,0,1
Baby Dragon,7,2900,4,0,11
Baby Dragon,8,2900,9,0,15
Baby Dragon,9,2900,2,0,3
Baby Dragon,10,2900,1,0,0
Baby Dragon,6,3000,2,0,1
Baby Dragon,7,3000,10,0,4
Baby Dragon,8,3000,3,0,2
Baby Dragon,9,3000,3,0,1
Baby Dragon,10,3000,0,0,3
Baby Dragon,6,3100,0,0,2
Baby Dragon,7,3100,13,0,2
