predRounded,resid05,resid25,resid50,resid75,resid95
3900,104.40664751813324,155.77071218915816,195.4769021282125,214.20017031313512,239.39544590514467
4000,-37.93520112183676,22.099609300926744,64.82837656421928,167.24091853007255,247.1775616550671
4100,-112.19364163490249,-49.52786308949443,25.160320592884048,103.77635154033175,206.96023130296368
4200,-168.31704463975947,-79.81170137812815,2.138239801091289,70.26014698180887,179.40036415893456
4300,-206.18961801551973,-85.60819002081567,-1.855411771494179,76.13034095981303,182.00698036058265
4400,-218.18823056003671,-68.08238070895176,15.633129672128517,89.91619900231498,180.67096787541527
4500,-211.2152137099637,-53.7869557702928,22.911300345263403,87.27021444229725,178.44776391479053
4600,-182.5170651127666,-47.498887162265405,21.27082687600803,82.88522290674608,170.54550452335047
4700,-174.75798253585202,-50.973982336137865,13.822301939368074,75.67320429336323,166.04070968417994
4800,-185.42867652338435,-64.13850785835571,2.9488804225436955,64.67794865378958,162.62446901991396
4900,-203.38237609811844,-80.75149662562022,-10.494564007165588,57.33096176833463,175.60960883169648
5000,-227.93052771758852,-99.93486640568044,-22.211826584209696,57.595339524446125,224.9980817771821
5100,-260.5206076143724,-116.54815975658836,-26.742169763683474,78.79083449727173,280.87143841928093
5200,-303.5525274420684,-138.29446936861177,-30.789849392025783,99.82803325315362,339.63404497970873
5300,-341.05734094866045,-151.61874029254196,-8.314163160896186,153.16782273835642,418.13106997754073
5400,-391.71387527248413,-154.44995923342265,11.301842244970228,195.2895395948715,481.90021725883526
5500,-386.3378044214052,-136.37851288321838,49.23802532837835,234.6399645400893,518.1560175689483
5600,-430.84196369199145,-120.81232897179882,64.208784424931,238.79876823270965,566.102059894132
5700,-373.9315221947401,-81.05669147637266,87.02166365145584,275.3244980217483,608.8535384862599
5800,-398.2356342840104,-116.95751034274312,43.26075804577083,248.41693641768592,586.6452807538606
5900,-359.7329299016698,-29.549540719591608,119.95144819843308,326.0023388149537,684.5816196944758
6000,-395.3208063767864,-89.52085327573612,133.15410670226296,304.47062131142104,449.40728028308956
6100,-70.61169637345407,37.88363647185269,173.50280252848617,217.6668851947087,252.99815132768674
