leftstartingtrophies,.fitted,.se.fit,.resid,.hat,.sigma,.cooksd
1733,1994.9149383413842,92.85023260109371,-261.91493832232334,0.09054366028293978,308.57225665504006,1.7679692525753134e-5
4882,4548.860508551087,123.14088425232629,333.1394914585258,0.15925628871453826,308.56635668478174,5.8868287808439956e-5
4522,4538.050572758477,133.35888602666077,-16.050572730559693,0.1867824093778439,308.5800895690998,1.7130235926931027e-7
5716,5109.85190213782,84.93844207083093,606.148097873942,0.07577058441861713,308.53866408201816,7.672879690810118e-5
4958,5147.184780574288,88.83679240481811,-189.18478058253461,0.08288535341045118,308.5760529405232,8.303529979822774e-6
5014,4890.8057170669435,114.55657123750167,123.1942829121189,0.13782629059437654,308.57828693482486,6.62496298877853e-6
3340,3832.7979184149185,91.71090430757646,-492.7979184199862,0.08833524270919474,308.5523428086395,6.076608196703874e-5
4968,4827.803975409606,31.654729033132437,140.19602458401232,0.010523719300542682,308.5780511548551,4.973815934481061e-7
1889,2133.9238187237966,147.9425904397404,-244.92381872437068,0.2298679870389839,308.57199973423747,5.473561669837414e-5
4657,4429.590928017919,65.94735333241863,227.40907198835646,0.04567586665436109,308.5744715359959,6.106191029859385e-6
5642,5259.893177413343,110.51417795971064,382.1068225847973,0.1282708729302474,308.5626560495248,5.80222213902688e-5
5668,5259.893177413343,110.51417795966918,408.1068225841951,0.12827087293015146,308.5601981191979,6.618696666586249e-5
4405,4295.723430428608,119.32003097921641,109.27656956936936,0.1495267073185719,308.5786584012779,5.811809196572889e-6
3614,3259.6904157937047,121.56418802950029,354.30958420748823,0.15520416166350356,308.564626166744,6.4272540003543e-5
3442,3491.84212791838,215.6877603287803,-49.84212791898385,0.4885882930041685,308.57961604592515,1.092583678372905e-5
3165,2981.281138347669,261.11759937003706,183.71886166567936,0.7160846160939855,308.56772510138813,7.059172857106259e-4
4475,4780.44709963809,58.03366455878935,-305.44709964161854,0.035371383367578224,308.57003644337027,8.349560297679056e-6
3400,3174.389869604722,153.88669107254142,225.61013040093354,0.2487105327849943,308.57305744783207,5.2802757394522595e-5
3395,3611.7120527640263,228.100494120187,-216.71205276081648,0.5464425473100122,308.56932447932076,2.937012912105723e-4
